# Dia	Panorama	Temperatura	Umidade	Vento	Jogar Tênis
1       Ensolarado      Quente          Alta    Fraco   Não
2       Ensolarado      Quente          Alta    Forte   Não
3       Nublado         Quente          Alta    Fraco   Sim
4       Chuvoso         Intermediária   Alta    Fraco   Sim
5       Chuvoso         Fria            Normal  Fraco   Sim
6       Chuvoso         Fria            Normal  Forte   Não
7       Nublado         Fria            Normal  Forte   Sim
8       Ensolarado      Intermediária   Alta    Fraco   Não
9       Ensolarado      Fria            Normal  Fraco   Sim
10      Chuvoso         Intermediária   Normal  Fraco   Sim
11      Ensolarado      Intermediária   Normal  Forte   Sim
12      Nublado         Intermediária   Alta    Forte   Sim
13      Nublado         Quente          Normal  Fraco   Sim
14      Chuvoso         Intermediária   Alta    Forte   Não
